telegram_id,telegram_name,telegram_username
582119700,OneHound,OneHound
5943016786,Pascal christ,Pascal_cj
2136329349,Burak Cem | Yellow,Burakcm
5078238352,Mohsin,mohsineja
5818069334,Hacubi | NeuralAI,hacubi_ai
5034352240,Bells'©,jahzkhid
1632345908,Rafael Lourenço| Yellow 🐥,rafaelourenco
7381221094,Rhaegar,rhaegar_A
1635941845,Roberto Valdivieso,Rovame86Yellowian
677645007,Crypto Guts,Crypt0Guts
953083946,KILLERINSTINCT🇵🇱😊 / YELLOW,polacobest
5084129820,Per Agfields,Agfield
5401049235,Eduardo / H7,H7_Crypto
1578956859,R Klopman | Yellow | OrbitEarn,rklopman
1489444104,Criptomike94,Criptomike94
1985082279,Leet,leescc
506222274,Scabboy,Scabboy
367966118,Cryptopeet,plscallmeadmin
2067285381,euromandriver 🟡,euromancryptodude
414853211,Victor Yellowian,Victoriusgarci
1124718335,Parogia,parogia
203094369,Stoner19,Stoner19
935889962,Kohari.inj,kohariETH
2138825295,Ken28 Yellowian,KEP28
514345908,Dennis,dennisgroningen
1756173830,Lucas,lucaszero1
735656153,Félix,Felix314159
6415652351,Dutch Cryptomancer,DutchCryptomancer
7143313339,Milk 🐾Orochi,Millbx
410922462,Crypto Steveh,cryptosteveh
189416848,JM,jm_vilaseca
5757785232,Markus Stiller,MPStiller
6659833825,Carlos,Carloxir
6987756952,Astral,Defi_Astral
7604127901,Rohaan | Yellow 🟡,rohaan_yellow
895883842,ΜΟΛΩΝ ΛΑΒΕ,zdrug_g
1733444755,Federico LKG,F7e6d5
1903037105,Ned,Ned52
1807890784,ShAdOwMaN,
1720637082,sejtron.azero,sejtron
751746982,♾,Veiledphilan
6237550060,Levii,CptLeviCryptoo
1708440962,PaintX,PaintXYZ
1299934998,Stan | Yellow | @EthCC,stan_yellow
6199272731,Faizi | DX,Faiz_faizi
8148360641,Crypto Chica,realcryptochica
1091994845,QQuante,QQUante
703815656,💯ArsenalAzero (Donald Tax),ArsenalAzero
6571931165,Adam Schulz,IamAdamSchulz
1866894151,CryptoRock,CryptoR0ck
2004829194,Daniel Klaumann,DanielKlaumann
189217075,Diego | Yellow,Diego_Yellow
1453235556,Market Maker_HQ,marketmaker_hq
5495754801,Madak,madak0x
968249668,CryptoHabibi,GodfatherRV
5860155027,canadAzero,canadAzero
1845709978,Shyla | Yellow,BrightBlox
1007106156,John Rhodel Bartolome,johnrhodel
348241685,Alexis Sirkia | Yellow,alexisyellow
1796628935,Dr. Alba,DrAlba1909
282059746,Ryan - The Inquisitor,Ryan1899
7365278273,Alina | Yellow,alina_yellow
1332970549,Leith Shankland,leithshankland
487246111,Cristina SZ,cristinasz
591086035,Rick,Patrick3512
1423813200,BQ 🐙,BQrypto
1568937919,Nhut Qui,nhutqui2309
1520956153,Nikita | Yellow,nksazonov_yellow
2077278566,CryptoIDO,oneworse
